text,lang,filename
Charlemagne Grand Cru(Pernand),fr,AOC Charlemagne Grand Cru(Pernand).mp3
Corton Grand Cru(Pernand),fr,AOC Corton Grand Cru(Pernand).mp3
Corton-Charlemagne Grand Cru(Pernand),fr,AOC Corton-Charlemagne Grand Cru(Pernand).mp3
Pernand-Vergelesses 1er Cru Clos Berthet,fr,AOC Pernand-Vergelesses 1er Cru Clos Berthet.mp3
Pernand-Vergelesses 1er Cru Creux de la Net,fr,AOC Pernand-Vergelesses 1er Cru Creux de la Net.mp3
Pernand-Vergelesses 1er Cru En Caradeux,fr,AOC Pernand-Vergelesses 1er Cru En Caradeux.mp3
Pernand-Vergelesses 1er Cru Ile des Vergelesses,fr,AOC Pernand-Vergelesses 1er Cru Ile des Vergelesses.mp3
Pernand-Vergelesses 1er Cru Les Fichots,fr,AOC Pernand-Vergelesses 1er Cru Les Fichots.mp3
Pernand-Vergelesses 1er Cru Sous Frétille,fr,AOC Pernand-Vergelesses 1er Cru Sous Frétille.mp3
Pernand-Vergelesses 1er Cru Vergelesses,fr,AOC Pernand-Vergelesses 1er Cru Vergelesses.mp3
Pernand-Vergelesses 1er Cru Village de Pernand,fr,AOC Pernand-Vergelesses 1er Cru Village de Pernand.mp3
Pernand-Vergelesses 1er Cru,fr,AOC Pernand-Vergelesses 1er Cru.mp3
Ladoix Village,fr,AOC Ladoix Village.mp3
Corton Grand Cru(Ladoix),fr,AOC Corton Grand Cru(Ladoix).mp3
Corton-Charlemagne Grand Cru(Ladoix),fr,AOC Corton-Charlemagne Grand Cru(Ladoix).mp3
Ladoix 1er Cru Basses Mourottes,fr,AOC Ladoix 1er Cru Basses Mourottes.mp3
Ladoix 1er Cru Bois Roussot,fr,AOC Ladoix 1er Cru Bois Roussot.mp3
Ladoix 1er Cru En Naget,fr,AOC Ladoix 1er Cru En Naget.mp3
Ladoix 1er Cru Hautes Mourottes,fr,AOC Ladoix 1er Cru Hautes Mourottes.mp3
Ladoix 1er Cru La Corvée,fr,AOC Ladoix 1er Cru La Corvée.mp3
Ladoix 1er Cru La Micaude,fr,AOC Ladoix 1er Cru La Micaude.mp3
Ladoix 1er Cru Le Clou d'Orge,fr,AOC Ladoix 1er Cru Le Clou d'Orge.mp3
